size	self.epochs	time_taken	cost
22600	1196	0:00:52.416335	-0.02768059767823237
22675	1200	0:00:52.685088	-0.02124042424056739
22750	1204	0:00:53.553296	-0.024000497677880563
22825	1208	0:00:53.841445	-0.022220765319966883
22900	1212	0:00:54.122959	-0.018280963566181765
22975	1216	0:00:54.410628	-0.016268867283117435
23050	1220	0:00:54.696608	-0.014477904390580337
23125	1224	0:00:54.978663	-0.019494437460119834
23200	1228	0:00:55.256576	-0.01720483838982244
23275	1232	0:00:55.528935	-0.020223637176891674
23350	1236	0:00:55.796256	-0.022735594853794203
23425	1240	0:00:56.063951	-0.03075466958814617
23500	1244	0:00:56.343013	-0.026962274653880527
23575	1248	0:00:56.622967	-0.028608172728031015
23650	1252	0:00:56.900731	-0.024628543792391714
23725	1256	0:00:57.188352	-0.02838169862473239
23800	1260	0:00:57.469566	-0.023677016906965633
23875	1264	0:00:57.758531	-0.024886417271834434
23950	1268	0:00:58.046860	-0.01969180405269332
24025	1272	0:00:58.327116	-0.03017880929574052
24100	1276	0:00:58.609558	-0.024335227359020852
24175	1280	0:00:58.901914	-0.018377051989572186
24250	1284	0:00:59.185599	-0.019634070091430842
24325	1288	0:00:59.469974	-0.016739987829763128
24400	1292	0:00:59.764305	-0.021098726294018957
24475	1296	0:01:00.061016	-0.014723645616983331
24550	1300	0:01:00.354851	-0.01617953382695396
24625	1304	0:01:01.291178	-0.01643218270663601
24700	1308	0:01:01.609299	-0.01914128936020798
24775	1312	0:01:01.918416	-0.022478541095932742
24850	1316	0:01:02.221262	-0.022644656716777664
24925	1320	0:01:02.536745	-0.009769570236393216
25000	1324	0:01:02.900252	-0.015136576736514385
25075	1328	0:01:03.361319	-0.014420687669264758
25150	1332	0:01:03.706232	-0.013033319366324505
25225	1336	0:01:04.013605	-0.014989598735150919
25300	1340	0:01:04.382983	-0.017590528178800593
25375	1344	0:01:04.935381	-0.01510123532234662
25450	1348	0:01:05.555210	-0.014151906091928807
25525	1352	0:01:05.969034	-0.014378778833595375
25600	1356	0:01:06.465200	-0.012606131404548814
25675	1360	0:01:06.889916	-0.012278675073308307
25750	1364	0:01:07.217836	-0.014266007966573216
25825	1368	0:01:07.533303	-0.01266766316427808
25900	1372	0:01:07.860841	-0.007353598731448946
25975	1376	0:01:08.180663	-0.009637203855226421
26050	1380	0:01:08.501754	-0.010627614292589458
26125	1384	0:01:08.813513	-0.01087116406467605
26200	1388	0:01:09.125585	-0.010976032014597674
26275	1392	0:01:09.433622	-0.014470912696768779
26350	1396	0:01:09.758565	-0.011357992062538236
26425	1400	0:01:10.074280	-0.015985973454138446
26500	1404	0:01:11.153677	-0.014186925638390958
26575	1408	0:01:11.472704	-0.016237653481160134
26650	1412	0:01:11.837264	-0.015130149085814766
26725	1416	0:01:12.253406	-0.0124753163979525
26800	1420	0:01:12.609866	-0.01416200128248952
26875	1424	0:01:12.935072	-0.014259818977980001
26950	1428	0:01:13.254115	-0.009001655153441859
27025	1432	0:01:13.624120	-0.013672943808274128
27100	1436	0:01:13.952395	-0.01358257377293735
27175	1440	0:01:14.271855	-0.008155482506585187
27250	1444	0:01:14.598363	-0.005776913085291169
